Reg	Aircraft Type	Config	Delivered	Remark	Age	
VT-IUP	Airbus A321neo	Y222	Jul 2020	lsd	5.4 Years	
VT-IUQ	Airbus A321neo	Y232	May 2020	lsd	5.7 Years	
VT-IUR	Airbus A321neo	Y232	Aug 2020	Parked at DEL, lsd	5.7 Years	
VT-IUS	Airbus A321neo	Y232	Oct 2020		5.7 Years	
VT-IUT	Airbus A321neo	Y232	Jun 2020	Parked at DEL	5.6 Years	
VT-IUU	Airbus A321neo	Y222	Oct 2020	Parked at DEL, lsd	5.5 Years	
VT-IUV	Airbus A321neo	Y232	Mar 2020	lsd	5.8 Years	
VT-IUW	Airbus A321neo	Y232	Aug 2020	Parked at BLR, lsd	5.7 Years	
VT-IUX	Airbus A321neo	Y232	Oct 2020	Parked at BLR, lsd	5.3 Years	
VT-IUY	Airbus A321neo	Y232	Oct 2020	Parked at DEL, lsd	5.4 Years	
VT-IUZ	Airbus A321neo	Y232	Dec 2020	lsd	5.1 Years	
VT-IWM	Airbus A321neo	Y232	Sep 2024	lsd	1.3 Years	
VT-IWN	Airbus A321neo	Y232	Aug 2024	lsd	1.4 Years	
VT-IWQ	Airbus A321neo	C12Y208	Dec 2024	lsd	1 Years	
VT-IWR	Airbus A321neo	Y232	Dec 2024	lsd	1 Years	
VT-IWS	Airbus A321neo	C12Y208	Dec 2024	lsd	1 Years	
VT-IWT	Airbus A321neo	C12Y208	Dec 2024	lsd	1 Years	
VT-IWU	Airbus A321neo	C12Y208	Jan 2025		0.9 Years	
VT-IWV	Airbus A321neo	C12Y208	Dec 2024	lsd	1 Years	
VT-NCA	Airbus A321neo	C12Y208	Dec 2024	lsd	1 Years	
VT-NCB	Airbus A321neo	C12Y208	Jan 2025		0.9 Years	
VT-NCC	Airbus A321neo	C12Y208	Feb 2025		0.9 Years	
VT-NCD	Airbus A321neo	C12Y208	Jan 2025		0.9 Years	
VT-NCE	Airbus A321neo	C12Y208	Mar 2025		0.7 Years	
VT-NCF	Airbus A321neo	C12Y208	Feb 2025		0.8 Years	
VT-NCG	Airbus A321neo	C12Y208	Apr 2025		0.7 Years	
VT-NCH	Airbus A321neo	C12Y208	Apr 2025		0.7 Years	
VT-NCI	Airbus A321neo	C12Y208	Mar 2025		0.8 Years	
VT-NCJ	Airbus A321neo	C12Y208	Mar 2025		0.8 Years	
VT-NCK	Airbus A321neo	C12Y208	Apr 2025		0.7 Years	
VT-NCL	Airbus A321neo	C12Y208	Apr 2025		0.7 Years	
VT-NCM	Airbus A321neo	C12Y208	Apr 2025		0.7 Years	
VT-NCN	Airbus A321neo	C12Y208	Jun 2025		0.5 Years	
VT-NCO	Airbus A321neo	C12Y208	Apr 2025		0.7 Years	
VT-NCP	Airbus A321neo	C12Y208	Jul 2025		0.4 Years	
VT-NCQ	Airbus A321neo	C12Y208	Jul 2025		0.5 Years	
VT-NCR	Airbus A321neo	C12Y208	May 2025		0.6 Years	
VT-NCS	Airbus A321neo	C12Y208	Aug 2025		0.4 Years	
VT-NCT	Airbus A321neo	C12Y208	Aug 2025		0.4 Years
VT-NCU	Airbus A321neo 	C12Y208	Aug 2025		0.3 Years	
VT-NCV	Airbus A321neo	C12Y208	Sep 2025		0.3 Years	
VT-NCW	Airbus A321neo	C12Y208	Jul 2025		0.4 Years	
VT-NCX	Airbus A321neo	C12Y208	Aug 2025		0.4 Years	
VT-NCY	Airbus A321neo	C12Y208	Oct 2025		0.2 Years	
